Global Solar(kW/m2),PV Cell Temperature(C),Wind Speed(m/s),Ambient Temperature,AC Load(kW),Month,Day,Year,Hour
0.02982449,24.48047,1.2201549999999999,23.72726,0.3217783,1,6,2007,1
0.0,23.72726,1.613657,23.72726,0.5467871,1,6,2007,1
0.0,23.72726,1.811031,23.72726,0.8307738000000001,1,6,2007,1
0.0,23.72726,1.5604959999999999,23.72726,0.8100696999999999,1,6,2007,1
0.0,23.72726,1.286266,23.72726,0.5011722,1,6,2007,1
0.0,23.72726,1.852888,23.72726,0.3439325,1,6,2007,1
0.0,23.72726,1.972778,23.72726,0.26291950000000003,1,6,2007,1
0.0,23.72726,2.0619389999999997,23.72726,0.1592095,1,6,2007,1
0.0,23.72726,2.0936529999999998,23.72726,0.05606066,1,7,2007,1
0.0,23.72726,2.4124689999999998,23.72726,0.05366161,1,7,2007,1
0.0,23.72726,2.1400200000000003,23.72726,0.15749639999999998,1,7,2007,1
0.0,23.72726,3.05784,23.72726,0.10860650000000001,1,7,2007,1
0.0,23.72726,2.5721849999999997,23.72726,0.1892849,1,7,2007,1
0.0,23.72726,2.182066,23.72726,0.24398910000000001,1,7,2007,1
0.0,23.72726,1.7820169999999997,23.72726,0.28436740000000005,1,7,2007,1
0.0,23.72726,1.5204879999999998,23.72726,0.22431289999999998,1,7,2007,1
0.01864031,24.19681,1.850666,23.72726,0.21803989999999998,1,7,2007,1
0.06089167,25.267039999999998,2.243834,23.72726,0.22070460000000003,1,7,2007,1
0.1105992,26.531679999999998,2.5312349999999997,23.72726,0.3315634,1,7,2007,1
0.1578213,27.73845,2.267786,23.72726,0.25917629999999997,1,7,2007,1
0.1888884,28.536379999999998,3.241619,23.72726,0.23153739999999998,1,7,2007,1
0.202558,28.892640000000004,3.4482150000000003,23.72726,0.24010229999999996,1,7,2007,1
0.1304822,27.04148,3.84913,23.72726,0.2103045,1,7,2007,1
0.08326004,25.83824,3.425816,23.72726,0.18930539999999998,1,7,2007,1
0.02112568,24.25967,3.7871339999999996,23.72726,0.2717299,1,7,2007,1
0.0,23.72726,4.598882,23.72726,0.3289233,1,7,2007,1
0.0,23.72726,4.278893,23.72726,0.5105582000000001,1,7,2007,1
0.0,23.72726,4.231998,23.72726,0.5389035,1,7,2007,1
